country,sentiment_vader,word,count,rank,n_reviews
fi,negative,job,70,1,339
fi,negative,restricted,53,2,339
fi,negative,worst,52,3,339
fi,negative,even,44,4,339
fi,negative,one,43,5,339
fi,negative,still,40,6,339
fi,negative,any,39,7,339
fi,negative,all,39,8,339
fi,negative,get,39,9,339
fi,negative,what,39,10,339
fi,negative,time,39,11,339
fi,negative,verification,38,12,339
fi,negative,after,37,13,339
fi,negative,reason,36,14,339
fi,negative,use,34,15,339
fi,neutral,professional,21,1,336
fi,neutral,job,17,2,336
fi,neutral,get,13,3,336
fi,neutral,when,11,4,336
fi,neutral,what,11,5,336
fi,neutral,work,10,6,336
fi,neutral,after,10,7,336
fi,neutral,even,10,8,336
fi,neutral,people,9,9,336
fi,neutral,unable,9,10,336
fi,neutral,any,9,11,336
fi,neutral,why,8,12,336
fi,neutral,doe,8,13,336
fi,neutral,open,8,14,336
fi,neutral,crashing,8,15,336
fi,positive,good,316,1,1291
fi,positive,great,193,2,1291
fi,positive,job,191,3,1291
fi,positive,professional,123,4,1291
fi,positive,best,111,5,1291
fi,positive,platform,96,6,1291
fi,positive,excellent,95,7,1291
fi,positive,nice,94,8,1291
fi,positive,use,73,9,1291
fi,positive,experience,68,10,1291
fi,positive,easy,61,11,1291
fi,positive,people,61,12,1291
fi,positive,opportunity,57,13,1291
fi,positive,like,56,14,1291
fi,positive,application,54,15,1291
gb,negative,job,70,1,339
gb,negative,restricted,53,2,339
gb,negative,worst,52,3,339
gb,negative,even,44,4,339
gb,negative,one,43,5,339
gb,negative,still,40,6,339
gb,negative,any,39,7,339
gb,negative,all,39,8,339
gb,negative,get,39,9,339
gb,negative,what,39,10,339
gb,negative,time,39,11,339
gb,negative,verification,38,12,339
gb,negative,after,37,13,339
gb,negative,reason,36,14,339
gb,negative,use,34,15,339
gb,neutral,professional,21,1,336
gb,neutral,job,17,2,336
gb,neutral,get,13,3,336
gb,neutral,when,11,4,336
gb,neutral,what,11,5,336
gb,neutral,work,10,6,336
gb,neutral,after,10,7,336
gb,neutral,even,10,8,336
gb,neutral,people,9,9,336
gb,neutral,unable,9,10,336
gb,neutral,any,9,11,336
gb,neutral,why,8,12,336
gb,neutral,doe,8,13,336
gb,neutral,open,8,14,336
gb,neutral,crashing,8,15,336
gb,positive,good,316,1,1291
gb,positive,great,193,2,1291
gb,positive,job,191,3,1291
gb,positive,professional,123,4,1291
gb,positive,best,111,5,1291
gb,positive,platform,96,6,1291
gb,positive,excellent,95,7,1291
gb,positive,nice,94,8,1291
gb,positive,use,73,9,1291
gb,positive,experience,68,10,1291
gb,positive,easy,61,11,1291
gb,positive,people,61,12,1291
gb,positive,opportunity,57,13,1291
gb,positive,like,56,14,1291
gb,positive,application,54,15,1291
it,negative,job,70,1,339
it,negative,restricted,53,2,339
it,negative,worst,52,3,339
it,negative,even,44,4,339
it,negative,one,43,5,339
it,negative,still,40,6,339
it,negative,any,39,7,339
it,negative,all,39,8,339
it,negative,get,39,9,339
it,negative,what,39,10,339
it,negative,time,39,11,339
it,negative,verification,38,12,339
it,negative,after,37,13,339
it,negative,reason,36,14,339
it,negative,use,34,15,339
it,neutral,professional,21,1,336
it,neutral,job,17,2,336
it,neutral,get,13,3,336
it,neutral,when,11,4,336
it,neutral,what,11,5,336
it,neutral,work,10,6,336
it,neutral,after,10,7,336
it,neutral,even,10,8,336
it,neutral,people,9,9,336
it,neutral,unable,9,10,336
it,neutral,any,9,11,336
it,neutral,why,8,12,336
it,neutral,doe,8,13,336
it,neutral,open,8,14,336
it,neutral,crashing,8,15,336
it,positive,good,316,1,1291
it,positive,great,193,2,1291
it,positive,job,191,3,1291
it,positive,professional,123,4,1291
it,positive,best,111,5,1291
it,positive,platform,96,6,1291
it,positive,excellent,95,7,1291
it,positive,nice,94,8,1291
it,positive,use,73,9,1291
it,positive,experience,68,10,1291
it,positive,easy,61,11,1291
it,positive,people,61,12,1291
it,positive,opportunity,57,13,1291
it,positive,like,56,14,1291
it,positive,application,54,15,1291
kz,negative,job,70,1,339
kz,negative,restricted,53,2,339
kz,negative,worst,52,3,339
kz,negative,even,44,4,339
kz,negative,one,43,5,339
kz,negative,still,40,6,339
kz,negative,any,39,7,339
kz,negative,all,39,8,339
kz,negative,get,39,9,339
kz,negative,what,39,10,339
kz,negative,time,39,11,339
kz,negative,verification,38,12,339
kz,negative,after,37,13,339
kz,negative,reason,36,14,339
kz,negative,use,34,15,339
kz,neutral,professional,21,1,336
kz,neutral,job,17,2,336
kz,neutral,get,13,3,336
kz,neutral,when,11,4,336
kz,neutral,what,11,5,336
kz,neutral,work,10,6,336
kz,neutral,after,10,7,336
kz,neutral,even,10,8,336
kz,neutral,people,9,9,336
kz,neutral,unable,9,10,336
kz,neutral,any,9,11,336
kz,neutral,why,8,12,336
kz,neutral,doe,8,13,336
kz,neutral,open,8,14,336
kz,neutral,crashing,8,15,336
kz,positive,good,316,1,1291
kz,positive,great,193,2,1291
kz,positive,job,191,3,1291
kz,positive,professional,123,4,1291
kz,positive,best,111,5,1291
kz,positive,platform,96,6,1291
kz,positive,excellent,95,7,1291
kz,positive,nice,94,8,1291
kz,positive,use,73,9,1291
kz,positive,experience,68,10,1291
kz,positive,easy,61,11,1291
kz,positive,people,61,12,1291
kz,positive,opportunity,57,13,1291
kz,positive,like,56,14,1291
kz,positive,application,54,15,1291
us,negative,job,70,1,339
